condition,seed,method,scene,auc,cnr,n_target,n_bg,n_valid,file
150k_1mm,45,namt_3p,u_pb_soil,0.999990584442486,12.40890318414997,648,1639,2287,150k_1mm/seed_45/namt_3p/u_pb_soil.npz
150k_1mm,45,namt_3p,u_pb_concrete,0.9999915104591144,11.983418667990382,648,1636,2284,150k_1mm/seed_45/namt_3p/u_pb_concrete.npz
150k_1mm,45,namt_3p,u_explosive_soil,0.9136312777361971,1.9033285626322134,648,1633,2281,150k_1mm/seed_45/namt_3p/u_explosive_soil.npz
150k_1mm,45,namt_3p,u_explosive_concrete,0.9238979777323335,2.2178259848449886,648,1630,2278,150k_1mm/seed_45/namt_3p/u_explosive_concrete.npz
150k_1mm,45,namt_3p,u_void_soil,0.9810911680911681,2.986073248141536,648,1625,2273,150k_1mm/seed_45/namt_3p/u_void_soil.npz
150k_1mm,45,namt_3p,u_void_concrete,0.9711975308641976,2.939762389165715,648,1625,2273,150k_1mm/seed_45/namt_3p/u_void_concrete.npz
150k_1mm,45,namt_4p,u_pb_soil,0.9999887013309832,13.780093808592412,648,1639,2287,150k_1mm/seed_45/namt_4p/u_pb_soil.npz
150k_1mm,45,namt_4p,u_pb_concrete,0.9999952835883968,13.030787566795528,648,1636,2284,150k_1mm/seed_45/namt_4p/u_pb_concrete.npz
150k_1mm,45,namt_4p,u_explosive_soil,0.9033391168265632,1.8046354915002556,648,1633,2281,150k_1mm/seed_45/namt_4p/u_explosive_soil.npz
150k_1mm,45,namt_4p,u_explosive_concrete,0.9457367643717337,2.3658109849421964,648,1630,2278,150k_1mm/seed_45/namt_4p/u_explosive_concrete.npz
150k_1mm,45,namt_4p,u_void_soil,0.9828784425451093,3.3232728717433933,648,1625,2273,150k_1mm/seed_45/namt_4p/u_void_soil.npz
150k_1mm,45,namt_4p,u_void_concrete,0.9781832858499525,3.592780073938364,648,1625,2273,150k_1mm/seed_45/namt_4p/u_void_concrete.npz
150k_1mm,46,poca,u_pb_soil,0.9704011413225915,3.2951046114404594,648,1655,2303,150k_1mm/seed_46/poca/u_pb_soil.npz
150k_1mm,46,poca,u_pb_concrete,0.9709119848511958,3.2171214636361416,648,1656,2304,150k_1mm/seed_46/poca/u_pb_concrete.npz
150k_1mm,46,poca,u_explosive_soil,0.521452015963597,0.19626789158907362,648,1655,2303,150k_1mm/seed_46/poca/u_explosive_soil.npz
150k_1mm,46,poca,u_explosive_concrete,0.6130308045565694,0.33064270281444713,648,1656,2304,150k_1mm/seed_46/poca/u_explosive_concrete.npz
150k_1mm,46,poca,u_void_soil,0.663914997575622,0.41005267714180915,648,1655,2303,150k_1mm/seed_46/poca/u_void_soil.npz
150k_1mm,46,poca,u_void_concrete,0.6840205512662713,0.38565347313231907,648,1655,2303,150k_1mm/seed_46/poca/u_void_concrete.npz
150k_1mm,46,asr_q75,u_pb_soil,0.9999673641415837,6.101893592029191,648,1655,2303,150k_1mm/seed_46/asr_q75/u_pb_soil.npz
150k_1mm,46,asr_q75,u_pb_concrete,0.9997632999343949,5.826558923655594,648,1656,2304,150k_1mm/seed_46/asr_q75/u_pb_concrete.npz
150k_1mm,46,asr_q75,u_explosive_soil,0.5698985491029801,0.12996562548497348,648,1655,2303,150k_1mm/seed_46/asr_q75/u_explosive_soil.npz
150k_1mm,46,asr_q75,u_explosive_concrete,0.694283130058558,0.4639622378584305,648,1655,2303,150k_1mm/seed_46/asr_q75/u_explosive_concrete.npz
150k_1mm,46,asr_q75,u_void_soil,0.87749746525914,1.1224223925906196,648,1656,2304,150k_1mm/seed_46/asr_q75/u_void_soil.npz
150k_1mm,46,asr_q75,u_void_concrete,0.8883645334169317,1.214167188555955,648,1654,2302,150k_1mm/seed_46/asr_q75/u_void_concrete.npz
150k_1mm,46,mlsd_median,u_pb_soil,0.9984614523889448,5.544274825408139,648,1655,2303,150k_1mm/seed_46/mlsd_median/u_pb_soil.npz
150k_1mm,46,mlsd_median,u_pb_concrete,0.9973571598974176,5.38425148562534,648,1656,2304,150k_1mm/seed_46/mlsd_median/u_pb_concrete.npz
150k_1mm,46,mlsd_median,u_explosive_soil,0.6769836211009721,0.4881661309076614,648,1656,2304,150k_1mm/seed_46/mlsd_median/u_explosive_soil.npz
150k_1mm,46,mlsd_median,u_explosive_concrete,0.7913498240591639,0.738667993358512,648,1656,2304,150k_1mm/seed_46/mlsd_median/u_explosive_concrete.npz
150k_1mm,46,mlsd_median,u_void_soil,0.8892087203013689,0.9042527736144262,648,1655,2303,150k_1mm/seed_46/mlsd_median/u_void_soil.npz
150k_1mm,46,mlsd_median,u_void_concrete,0.9156978478982507,1.1107982761839679,648,1655,2303,150k_1mm/seed_46/mlsd_median/u_void_concrete.npz
150k_1mm,46,namt_3p,u_pb_soil,0.9999962176228516,12.929731406719025,648,1632,2280,150k_1mm/seed_46/namt_3p/u_pb_soil.npz
150k_1mm,46,namt_3p,u_pb_concrete,0.9999811573885647,12.932538436611939,648,1638,2286,150k_1mm/seed_46/namt_3p/u_pb_concrete.npz
150k_1mm,46,namt_3p,u_explosive_soil,0.9350108754139858,2.200637657395653,648,1629,2277,150k_1mm/seed_46/namt_3p/u_explosive_soil.npz
150k_1mm,46,namt_3p,u_explosive_concrete,0.9481954858744225,2.1661510821852494,648,1630,2278,150k_1mm/seed_46/namt_3p/u_explosive_concrete.npz
150k_1mm,46,namt_3p,u_void_soil,0.9782015676811825,3.0093132876216573,648,1627,2275,150k_1mm/seed_46/namt_3p/u_void_soil.npz
150k_1mm,46,namt_3p,u_void_concrete,0.9752320018772093,3.3439149475248895,648,1631,2279,150k_1mm/seed_46/namt_3p/u_void_concrete.npz
150k_1mm,46,namt_4p,u_pb_soil,0.9999990544057129,14.974038346641061,648,1632,2280,150k_1mm/seed_46/namt_4p/u_pb_soil.npz
150k_1mm,46,namt_4p,u_pb_concrete,0.9999905786942824,13.302396841515545,648,1638,2286,150k_1mm/seed_46/namt_4p/u_pb_concrete.npz
150k_1mm,46,namt_4p,u_explosive_soil,0.9163834132884675,2.099746096463994,648,1629,2277,150k_1mm/seed_46/namt_4p/u_explosive_soil.npz
150k_1mm,46,namt_4p,u_explosive_concrete,0.9459232750132546,2.217583174643245,648,1630,2278,150k_1mm/seed_46/namt_4p/u_explosive_concrete.npz
150k_1mm,46,namt_4p,u_void_soil,0.9820069506096959,3.7537306678018303,648,1627,2275,150k_1mm/seed_46/namt_4p/u_void_soil.npz
150k_1mm,46,namt_4p,u_void_concrete,0.9863173770541439,4.600185875344794,648,1631,2279,150k_1mm/seed_46/namt_4p/u_void_concrete.npz
100k_1mm,42,poca,u_pb_soil,0.9602296505545093,2.8999466709649226,648,1652,2300,100k_1mm/seed_42/poca/u_pb_soil.npz
100k_1mm,42,poca,u_pb_concrete,0.949909200968523,2.4165768349529695,648,1652,2300,100k_1mm/seed_42/poca/u_pb_concrete.npz
100k_1mm,42,poca,u_explosive_soil,0.4845660295427831,0.10955353842859163,648,1649,2297,100k_1mm/seed_42/poca/u_explosive_soil.npz
100k_1mm,42,poca,u_explosive_concrete,0.555248221385227,0.18446338985995162,648,1652,2300,100k_1mm/seed_42/poca/u_explosive_concrete.npz
