condition,method,scene,n,auc_mean,auc_std,cnr_mean,cnr_std
150k_1mm,namt_4p,u_pb_soil,5,0.9999964157308098,4.5346081957119735e-06,14.429710602119684,0.8620057193045886
150k_1mm,namt_4p,u_void_concrete,5,0.9834228462674602,0.004009810138195865,4.065348162182328,0.3902989428521016
150k_1mm,namt_4p,u_void_soil,5,0.9822733545034759,0.003447953309473919,3.4644972320995544,0.31886204564836146
150k_1mm,poca,u_explosive_concrete,5,0.5848885797378933,0.017443618809990038,0.28748853349611864,0.028511522246409435
150k_1mm,poca,u_explosive_soil,5,0.5231961452704267,0.005962835044026156,0.1907233387609856,0.02187796716823555
150k_1mm,poca,u_pb_concrete,5,0.9676546564680623,0.0033297880976417083,2.831624174989149,0.4577568689583748
150k_1mm,poca,u_pb_soil,5,0.9698650660411033,0.0038581831547752693,3.2250343395084853,0.2627960818059682
150k_1mm,poca,u_void_concrete,5,0.685466897960081,0.009523542404943672,0.4159336534806416,0.050545291994125816
150k_1mm,poca,u_void_soil,5,0.6613578474351774,0.008524904850294985,0.33987626105207924,0.04608196579267797
150k_2mm,asr_q75,u_explosive_concrete,5,0.5582654995215324,0.015540459195096758,0.10402666212483747,0.05003275104051153
150k_2mm,asr_q75,u_explosive_soil,5,0.4772520563028023,0.023398228457933566,-0.08885893032721483,0.04804798146908315
150k_2mm,asr_q75,u_pb_concrete,5,0.9973078632359387,0.0010000662922491355,3.9799633044812674,0.14704231998505424
150k_2mm,asr_q75,u_pb_soil,5,0.9982779867673047,0.00042171767479267026,4.278844395779164,0.10433935639594535
150k_2mm,asr_q75,u_void_concrete,5,0.6967399251139573,0.02725102123758582,0.4516288059054183,0.08531765795810584
150k_2mm,asr_q75,u_void_soil,5,0.6878267127143081,0.03346750826772755,0.4436389055567248,0.09057404082137174
150k_2mm,mlsd_median,u_explosive_concrete,5,0.6518326696699764,0.016743797100842506,0.3823028540852368,0.04153661514770343
150k_2mm,mlsd_median,u_explosive_soil,5,0.5693480870161627,0.01585714037878331,0.20796412137274783,0.035213169012410894
150k_2mm,mlsd_median,u_pb_concrete,5,0.9943005606250372,0.001055770322773203,3.931759588829826,0.08633958029567498
150k_2mm,mlsd_median,u_pb_soil,5,0.9955221831943302,0.0007498362288740481,4.096520777677963,0.08898790424637476
150k_2mm,mlsd_median,u_void_concrete,5,0.7701039864663567,0.02465886155673951,0.6283582090112102,0.07230530531049079
150k_2mm,mlsd_median,u_void_soil,5,0.7263712030239589,0.023295356509655637,0.5347625194615625,0.07872727503640066
150k_2mm,namt_3p,u_explosive_concrete,5,0.9080393424185523,0.021398673595558096,1.867121867275035,0.2215460578855251
150k_2mm,namt_3p,u_explosive_soil,5,0.8713709660226752,0.015236314895117108,1.5749597550978371,0.1295858158463393
150k_2mm,namt_3p,u_pb_concrete,5,0.9999116006410171,8.605355821750168e-05,8.744258751186695,0.7434176753895424
150k_2mm,namt_3p,u_pb_soil,5,0.9999372455800758,5.040181645409546e-05,8.449509930901092,0.5183936981326539
150k_2mm,namt_3p,u_void_concrete,5,0.9327475985870816,0.0205792243870307,2.1159289984103706,0.23052065647957015
150k_2mm,namt_3p,u_void_soil,5,0.9399640798581513,0.02103749588438977,2.1176252552819297,0.25404283526328864
150k_2mm,namt_4p,u_explosive_concrete,5,0.9238788543572859,0.02062216762128882,2.1033414388315856,0.3404621457440531
150k_2mm,namt_4p,u_explosive_soil,5,0.8765374068660045,0.022814820978161714,1.5991937441832538,0.2243882183960522
150k_2mm,namt_4p,u_pb_concrete,5,0.9999149815543193,9.166650823864918e-05,9.07043767480377,0.6082628478194017
150k_2mm,namt_4p,u_pb_soil,5,0.9999056786808882,6.841386363865982e-05,8.896904100999103,0.5153264445280243
150k_2mm,namt_4p,u_void_concrete,5,0.9585895219402263,0.011251023194830817,2.7666041558944716,0.24759987692731644
150k_2mm,namt_4p,u_void_soil,5,0.963021009548655,0.012002906244314908,2.6858346510376667,0.3598251549350218
150k_2mm,poca,u_explosive_concrete,5,0.5808491449450142,0.009617153875150095,0.2706493610107943,0.040178326479755486
150k_2mm,poca,u_explosive_soil,5,0.5302263016369552,0.004304488082951517,0.1950652639480423,0.021723690563190724
150k_2mm,poca,u_pb_concrete,5,0.9598858621100972,0.0027501095316566256,2.716233462353986,0.25557512209789973
150k_2mm,poca,u_pb_soil,5,0.9628625418184942,0.004216015865376276,2.9006859212993215,0.27949989370597267
150k_2mm,poca,u_void_concrete,5,0.6781206355569451,0.01064846993927244,0.4233851467496807,0.05575239493643832
150k_2mm,poca,u_void_soil,5,0.6555745644227791,0.007115901611933851,0.335852568040316,0.04382924384952922
150k_3mm,asr_q75,u_explosive_concrete,5,0.5132835050055551,0.009009282138951918,0.021113261861356782,0.026948815014276557
